text,label
We have processed a refund of $89.00 to your account by mistake. Please click here to return the funds immediately to avoid legal action: http://confirm-now.top/login,phishing
"Hey, are we still on for lunch on Monday? Let me know what time works for you.",safe
"Hi Grace, just a reminder that our meeting is scheduled for Friday at 4:00 PM. Let me know if you have any questions before then.",safe
"Hi team, this week's newsletter is out — highlights and updates from Harbor Insurance are here: https://www.harborinsurance.com/support",safe
"Hello Grace, please find attached the invoice for last month's services from Northwind Bank. Let us know if anything looks off.",safe
"Dear Omar, thank you for your recent purchase from Meridian Health. Your order #33209 has shipped and should arrive by Tuesday.",safe
ACTION REQUIRED: Unusual sign-in activity was detected on your account. Confirm it was you within 24 hours or your account will be locked: http://harborinsurance.com@lepnihff.ru/session,phishing
Final notice: Your Orbit Telecom subscription payment failed. Please update your card details immediately to avoid cancellation: http://81.239.80.132/login/verify,phishing
"Hi Taylor, just a reminder that our meeting is scheduled for Monday at 1:00 PM. Let me know if you have any questions before then.",safe
"Hi all, just sharing the slides from today's presentation for anyone who missed the meeting. Thanks for joining!",safe
"Dear Carlos, your recent statement from Harbor Insurance is now available in your online account: https://www.meridianhealth.org/dashboard",safe
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://yourcompany-secure-login.ga/verify,phishing
"Dear valued customer, our records show your Cascade Cloud password will expire today. Click below to reset it now and keep your account active: http://114.43.178.77/login/verify",phishing
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://brightpay-secure-login.ml/verify,phishing
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://jm2c8qizk3c9xb.info/index.php?verify=1,phishing
"Hi Alex, just a reminder that our meeting is scheduled for Friday at 9:00 AM. Let me know if you have any questions before then.",safe
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://uzkamugysm8t2s.info/index.php?verify=1,phishing
"Hello, this is a reminder that your appointment with Northwind Bank is confirmed for Wednesday at 10:30 AM. Reply to this email if you need to reschedule.",safe
"Dear Wei, your recent statement from Harbor Insurance is now available in your online account: https://www.vertexsoftware.dev/account",safe
Congratulations Omar! You have been selected to win a $500 gift card. Claim your prize now before it expires: http://96zpxvpbl9ot7t.info/index.php?verify=1,phishing
"Hello Sam, please find attached the invoice for last month's services from Harbor Insurance. Let us know if anything looks off.",safe
Final notice: Your Northwind Bank subscription payment failed. Please update your card details immediately to avoid cancellation: http://1.86.198.34/login/verify,phishing
"Hello, this is a reminder that your appointment with Harbor Insurance is confirmed for Thursday at 9:00 AM. Reply to this email if you need to reschedule.",safe
"Dear Priya, thank you for your recent purchase from Summit Retail. Your order #14660 has shipped and should arrive by Thursday.",safe
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://northwindbank-secure-login.info/verify,phishing
Final notice: Your Meridian Health subscription payment failed. Please update your card details immediately to avoid cancellation: http://meridianhealth.org@nlfjkfec.ru/session,phishing
"Hello, this is a reminder that your appointment with Northwind Bank is confirmed for Friday at 4:00 PM. Reply to this email if you need to reschedule.",safe
ACTION REQUIRED: Unusual sign-in activity was detected on your account. Confirm it was you within 24 hours or your account will be locked: http://bcppvohsmdyvsl.info/index.php?verify=1,phishing
Final notice: Your BrightPay subscription payment failed. Please update your card details immediately to avoid cancellation: http://211.17.103.126/login/verify,phishing
"Dear Nina, thank you for your recent purchase from Vertex Software. Your order #93744 has shipped and should arrive by Monday.",safe
ACTION REQUIRED: Unusual sign-in activity was detected on your account. Confirm it was you within 24 hours or your account will be locked: http://ybisbo551ldqnk.info/index.php?verify=1,phishing
"Dear Priya, your Northwind Bank account has been suspended due to unusual activity. Click here to verify your account immediately or it will be permanently closed within 24 hours: http://yourcompany-secure-login.ml/verify",phishing
"Dear Morgan, your Orbit Telecom account has been suspended due to unusual activity. Click here to verify your account immediately or it will be permanently closed within 24 hours: http://hxid4n1u3493wx.info/index.php?verify=1",phishing
"Hi all, just sharing the slides from today's presentation for anyone who missed the meeting. Thanks for joining!",safe
"Hi Aisha, following up on our call earlier — I've attached the notes and next steps we discussed. Talk soon.",safe
"Hi all, just sharing the slides from today's presentation for anyone who missed the meeting. Thanks for joining!",safe
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://yhnqyyf9rk7d30.info/index.php?verify=1,phishing
Final notice: Your Meridian Health subscription payment failed. Please update your card details immediately to avoid cancellation: http://233.197.23.167/login/verify,phishing
"Dear Daniel, your Summit Retail account has been suspended due to unusual activity. Click here to verify your account immediately or it will be permanently closed within 24 hours: http://billing-alert.xyz/login",phishing
We have processed a refund of $89.00 to your account by mistake. Please click here to return the funds immediately to avoid legal action: http://yourcompany.com@jaofpjml.ru/session,phishing
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://73.186.77.215/login/verify,phishing
Final notice: Your Northwind Bank subscription payment failed. Please update your card details immediately to avoid cancellation: http://northwindbank.com@gnljafbp.ru/session,phishing
"Hi Daniel, the quarterly report from Meridian Health is ready for review. You can access it here: https://www.vertexsoftware.dev/account",safe
"Dear Sam, thank you for your recent purchase from Northwind Bank. Your order #72469 has shipped and should arrive by Wednesday.",safe
"Hello Morgan, please find attached the invoice for last month's services from Summit Retail. Let us know if anything looks off.",safe
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://vertexsoftware-secure-login.info/verify,phishing
"Hi team, this week's newsletter is out — highlights and updates from Orbit Telecom are here: https://www.yourcompany.com/billing",safe
"Dear Jordan, your recent statement from Vertex Software is now available in your online account: https://www.vertexsoftware.dev/account",safe
ACTION REQUIRED: Unusual sign-in activity was detected on your account. Confirm it was you within 24 hours or your account will be locked: http://61.162.176.236/login/verify,phishing
"Hello Omar, please find attached the invoice for last month's services from Cascade Cloud. Let us know if anything looks off.",safe
"Hello Wei, please find attached the invoice for last month's services from Orbit Telecom. Let us know if anything looks off.",safe
Your payment of $249.99 could not be processed. Update your billing information immediately to avoid service interruption: http://brightpay.com@fdeokjcl.ru/session,phishing
"Hi all, just sharing the slides from today's presentation for anyone who missed the meeting. Thanks for joining!",safe
"Hi all, just sharing the slides from today's presentation for anyone who missed the meeting. Thanks for joining!",safe
"Hello Fatima, please find attached the invoice for last month's services from BrightPay. Let us know if anything looks off.",safe
"Hi all, just sharing the slides from today's presentation for anyone who missed the meeting. Thanks for joining!",safe
"Hello Grace, please find attached the invoice for last month's services from Cascade Cloud. Let us know if anything looks off.",safe
Your mailbox has exceeded its storage limit and new emails will be rejected. Verify your account now to restore full access: http://131.236.53.250/login/verify,phishing
"Hey, are we still on for lunch on Monday? Let me know what time works for you.",safe
"Hello Aisha, please find attached the invoice for last month's services from Cascade Cloud. Let us know if anything looks off.",safe
ACTION REQUIRED: Unusual sign-in activity was detected on your account. Confirm it was you within 24 hours or your account will be locked: http://secure-update.top/login,phishing
"Hey, are we still on for lunch on Friday? Let me know what time works for you.",safe
"Hey, are we still on for lunch on Wednesday? Let me know what time works for you.",safe
"Hi Fatima, following up on our call earlier — I've attached the notes and next steps we discussed. Talk soon.",safe
"Hi Daniel, this is Northwind Bank Support. We noticed a failed delivery attempt for your package. Confirm your address here to reschedule: http://49.133.93.160/login/verify",phishing
Your payment of $249.99 could not be processed. Update your billing information immediately to avoid service interruption: http://harborinsurance.com@iaegjkhh.ru/session,phishing
"Dear valued customer, our records show your Cascade Cloud password will expire today. Click below to reset it now and keep your account active: http://summitretail.com@ifcjgaal.ru/session",phishing
ACTION REQUIRED: Unusual sign-in activity was detected on your account. Confirm it was you within 24 hours or your account will be locked: http://sryo4rcb1kjtgq.info/index.php?verify=1,phishing
"Hey, are we still on for lunch on Tuesday? Let me know what time works for you.",safe
ACTION REQUIRED: Unusual sign-in activity was detected on your account. Confirm it was you within 24 hours or your account will be locked: http://confirm-now.cf/login,phishing
Congratulations Wei! You have been selected to win a $500 gift card. Claim your prize now before it expires: http://vertexsoftware-secure-login.top/verify,phishing
"Dear Jordan, your recent statement from BrightPay is now available in your online account: https://www.harborinsurance.com/support",safe
Final notice: Your Orbit Telecom subscription payment failed. Please update your card details immediately to avoid cancellation: http://summitretail-secure-login.tk/verify,phishing
"Hi Alex, just a reminder that our meeting is scheduled for Wednesday at 10:30 AM. Let me know if you have any questions before then.",safe
Final notice: Your BrightPay subscription payment failed. Please update your card details immediately to avoid cancellation: http://242.119.13.44/login/verify,phishing
"Hi Jordan, this is Harbor Insurance Support. We noticed a failed delivery attempt for your package. Confirm your address here to reschedule: http://summitretail.com@oobggfeh.ru/session",phishing
"Dear valued customer, our records show your Summit Retail password will expire today. Click below to reset it now and keep your account active: http://northwindbank-secure-login.cf/verify",phishing
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://yourcompany.com@nalkiekb.ru/session,phishing
"Hi team, this week's newsletter is out — highlights and updates from Vertex Software are here: https://www.summitretail.com/support",safe
"Dear Alex, your Summit Retail account has been suspended due to unusual activity. Click here to verify your account immediately or it will be permanently closed within 24 hours: http://harborinsurance.com@cijmcbnj.ru/session",phishing
Your mailbox has exceeded its storage limit and new emails will be rejected. Verify your account now to restore full access: http://confirm-now.tk/login,phishing
"Hi Fatima, this is Harbor Insurance Support. We noticed a failed delivery attempt for your package. Confirm your address here to reschedule: http://v6dixfwuxx8l2d.info/index.php?verify=1",phishing
"Hi team, this week's newsletter is out — highlights and updates from Meridian Health are here: https://www.orbittelecom.com/support",safe
"Hello, this is a reminder that your appointment with Orbit Telecom is confirmed for Friday at 4:00 PM. Reply to this email if you need to reschedule.",safe
"Hi Alex, this is Summit Retail Support. We noticed a failed delivery attempt for your package. Confirm your address here to reschedule: http://vertexsoftware-secure-login.tk/verify",phishing
"Dear Morgan, your recent statement from Harbor Insurance is now available in your online account: https://www.northwindbank.com/dashboard",safe
"Hi Morgan, this is Northwind Bank Support. We noticed a failed delivery attempt for your package. Confirm your address here to reschedule: http://2y8fv2bc2nnuvy.info/index.php?verify=1",phishing
"Dear Grace, your Harbor Insurance account has been suspended due to unusual activity. Click here to verify your account immediately or it will be permanently closed within 24 hours: http://cascadecloud-secure-login.tk/verify",phishing
Congratulations Aisha! You have been selected to win a $500 gift card. Claim your prize now before it expires: http://zfdsnczxvml90p.info/index.php?verify=1,phishing
"Dear Wei, your recent statement from Summit Retail is now available in your online account: https://www.northwindbank.com/billing",safe
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://cascadecloud.io@cchigafb.ru/session,phishing
"Dear Grace, your recent statement from Orbit Telecom is now available in your online account: https://www.brightpay.com/billing",safe
"Hello Daniel, please find attached the invoice for last month's services from Orbit Telecom. Let us know if anything looks off.",safe
"Hi Jordan, following up on our call earlier — I've attached the notes and next steps we discussed. Talk soon.",safe
"Hi Nina, following up on our call earlier — I've attached the notes and next steps we discussed. Talk soon.",safe
"Hello Sam, please find attached the invoice for last month's services from Vertex Software. Let us know if anything looks off.",safe
"Hi team, this week's newsletter is out — highlights and updates from BrightPay are here: https://www.summitretail.com/dashboard",safe
"Dear valued customer, our records show your Orbit Telecom password will expire today. Click below to reset it now and keep your account active: http://confirm-now.cf/login",phishing
"Dear Liam, thank you for your recent purchase from BrightPay. Your order #64419 has shipped and should arrive by Friday.",safe
"Hey, are we still on for lunch on Thursday? Let me know what time works for you.",safe
Final notice: Your Summit Retail subscription payment failed. Please update your card details immediately to avoid cancellation: http://g8p6befflzm764.info/index.php?verify=1,phishing
"Dear valued customer, our records show your Harbor Insurance password will expire today. Click below to reset it now and keep your account active: http://brightpay-secure-login.info/verify",phishing
"Hey, are we still on for lunch on Wednesday? Let me know what time works for you.",safe
"Hello Alex, please find attached the invoice for last month's services from Orbit Telecom. Let us know if anything looks off.",safe
Your payment of $249.99 could not be processed. Update your billing information immediately to avoid service interruption: http://xlm5q201lhlb50.info/index.php?verify=1,phishing
"Dear valued customer, our records show your Orbit Telecom password will expire today. Click below to reset it now and keep your account active: http://billing-alert.tk/login",phishing
"Dear Morgan, your recent statement from Summit Retail is now available in your online account: https://www.meridianhealth.org/dashboard",safe
"Dear Daniel, your BrightPay account has been suspended due to unusual activity. Click here to verify your account immediately or it will be permanently closed within 24 hours: http://billing-alert.ml/login",phishing
"Hello Morgan, please find attached the invoice for last month's services from Summit Retail. Let us know if anything looks off.",safe
"Hi all, just sharing the slides from today's presentation for anyone who missed the meeting. Thanks for joining!",safe
Your payment of $249.99 could not be processed. Update your billing information immediately to avoid service interruption: http://vertexsoftware.dev@eamokchf.ru/session,phishing
"Hey, are we still on for lunch on Monday? Let me know what time works for you.",safe
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://brightpay-secure-login.top/verify,phishing
ACTION REQUIRED: Unusual sign-in activity was detected on your account. Confirm it was you within 24 hours or your account will be locked: http://q5rdoqivbkv4yk.info/index.php?verify=1,phishing
"Dear Taylor, thank you for your recent purchase from Harbor Insurance. Your order #18361 has shipped and should arrive by Monday.",safe
"Hi Aisha, this is Cascade Cloud Support. We noticed a failed delivery attempt for your package. Confirm your address here to reschedule: http://harborinsurance-secure-login.xyz/verify",phishing
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://harborinsurance.com@npdigoio.ru/session,phishing
Your mailbox has exceeded its storage limit and new emails will be rejected. Verify your account now to restore full access: http://o8bnp84dyt9mog.info/index.php?verify=1,phishing
ACTION REQUIRED: Unusual sign-in activity was detected on your account. Confirm it was you within 24 hours or your account will be locked: http://harborinsurance.com@mfeenhnj.ru/session,phishing
Your payment of $249.99 could not be processed. Update your billing information immediately to avoid service interruption: http://meridianhealth.org@gikonbce.ru/session,phishing
We have processed a refund of $89.00 to your account by mistake. Please click here to return the funds immediately to avoid legal action: http://confirm-now.cf/login,phishing
We have processed a refund of $89.00 to your account by mistake. Please click here to return the funds immediately to avoid legal action: http://243.102.86.216/login/verify,phishing
We have processed a refund of $89.00 to your account by mistake. Please click here to return the funds immediately to avoid legal action: http://uzvgww4fyb8dal.info/index.php?verify=1,phishing
"Dear valued customer, our records show your Harbor Insurance password will expire today. Click below to reset it now and keep your account active: http://5nsjf678k52qc1.info/index.php?verify=1",phishing
"Hello, this is a reminder that your appointment with Summit Retail is confirmed for Wednesday at 3:15 PM. Reply to this email if you need to reschedule.",safe
ACTION REQUIRED: Unusual sign-in activity was detected on your account. Confirm it was you within 24 hours or your account will be locked: http://143.174.99.73/login/verify,phishing
"Dear Sam, your recent statement from Orbit Telecom is now available in your online account: https://www.yourcompany.com/account",safe
"Dear Daniel, your recent statement from Northwind Bank is now available in your online account: https://www.summitretail.com/account",safe
Your mailbox has exceeded its storage limit and new emails will be rejected. Verify your account now to restore full access: http://brightpay-secure-login.cf/verify,phishing
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://174.190.229.140/login/verify,phishing
"Hey, are we still on for lunch on Wednesday? Let me know what time works for you.",safe
"Hi all, just sharing the slides from today's presentation for anyone who missed the meeting. Thanks for joining!",safe
"Hi team, this week's newsletter is out — highlights and updates from Cascade Cloud are here: https://www.orbittelecom.com/dashboard",safe
"Hi all, just sharing the slides from today's presentation for anyone who missed the meeting. Thanks for joining!",safe
"Hey, are we still on for lunch on Tuesday? Let me know what time works for you.",safe
"Dear valued customer, our records show your Cascade Cloud password will expire today. Click below to reset it now and keep your account active: http://a4abn7g8b2zxii.info/index.php?verify=1",phishing
"Dear valued customer, our records show your Vertex Software password will expire today. Click below to reset it now and keep your account active: http://secure-update.ml/login",phishing
"Hey, are we still on for lunch on Friday? Let me know what time works for you.",safe
Your mailbox has exceeded its storage limit and new emails will be rejected. Verify your account now to restore full access: http://billing-alert.top/login,phishing
Your payment of $249.99 could not be processed. Update your billing information immediately to avoid service interruption: http://account-verify.ga/login,phishing
"Hi Jordan, just a reminder that our meeting is scheduled for Monday at 10:30 AM. Let me know if you have any questions before then.",safe
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://208.182.30.6/login/verify,phishing
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://meridianhealth-secure-login.info/verify,phishing
"Hi team, this week's newsletter is out — highlights and updates from Vertex Software are here: https://www.yourcompany.com/support",safe
"Hi team, this week's newsletter is out — highlights and updates from Harbor Insurance are here: https://www.harborinsurance.com/support",safe
Congratulations Sam! You have been selected to win a $500 gift card. Claim your prize now before it expires: http://n2twdl9zs13c9x.info/index.php?verify=1,phishing
Final notice: Your Vertex Software subscription payment failed. Please update your card details immediately to avoid cancellation: http://mf60yknfu84xyj.info/index.php?verify=1,phishing
"Dear Morgan, your Northwind Bank account has been suspended due to unusual activity. Click here to verify your account immediately or it will be permanently closed within 24 hours: http://88.44.228.97/login/verify",phishing
"Hi all, just sharing the slides from today's presentation for anyone who missed the meeting. Thanks for joining!",safe
"Dear Aisha, thank you for your recent purchase from Meridian Health. Your order #59987 has shipped and should arrive by Monday.",safe
Your mailbox has exceeded its storage limit and new emails will be rejected. Verify your account now to restore full access: http://130.35.164.210/login/verify,phishing
"Hi Omar, this is Vertex Software Support. We noticed a failed delivery attempt for your package. Confirm your address here to reschedule: http://2czo2sug5hcbbm.info/index.php?verify=1",phishing
"Dear Taylor, thank you for your recent purchase from Summit Retail. Your order #21507 has shipped and should arrive by Thursday.",safe
"Hi Liam, the quarterly report from BrightPay is ready for review. You can access it here: https://www.yourcompany.com/newsletter",safe
Congratulations Aisha! You have been selected to win a $500 gift card. Claim your prize now before it expires: http://v7mqxs6esj3l0x.info/index.php?verify=1,phishing
Congratulations Omar! You have been selected to win a $500 gift card. Claim your prize now before it expires: http://billing-alert.top/login,phishing
"Hello Omar, please find attached the invoice for last month's services from Meridian Health. Let us know if anything looks off.",safe
Your payment of $249.99 could not be processed. Update your billing information immediately to avoid service interruption: http://billing-alert.tk/login,phishing
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://8bm92h3tv3i12v.info/index.php?verify=1,phishing
"Dear valued customer, our records show your Vertex Software password will expire today. Click below to reset it now and keep your account active: http://brightpay-secure-login.tk/verify",phishing
"Hi Morgan, this is Cascade Cloud Support. We noticed a failed delivery attempt for your package. Confirm your address here to reschedule: http://vertexsoftware-secure-login.top/verify",phishing
Final notice: Your Harbor Insurance subscription payment failed. Please update your card details immediately to avoid cancellation: http://confirm-now.info/login,phishing
"Hi Wei, following up on our call earlier — I've attached the notes and next steps we discussed. Talk soon.",safe
"Hello, this is a reminder that your appointment with Summit Retail is confirmed for Thursday at 10:30 AM. Reply to this email if you need to reschedule.",safe
"Hello Omar, please find attached the invoice for last month's services from Vertex Software. Let us know if anything looks off.",safe
"Hi all, just sharing the slides from today's presentation for anyone who missed the meeting. Thanks for joining!",safe
"Hello, this is a reminder that your appointment with Summit Retail is confirmed for Thursday at 3:15 PM. Reply to this email if you need to reschedule.",safe
"Dear Wei, your recent statement from Harbor Insurance is now available in your online account: https://www.harborinsurance.com/support",safe
"Hi team, this week's newsletter is out — highlights and updates from BrightPay are here: https://www.meridianhealth.org/support",safe
Your payment of $249.99 could not be processed. Update your billing information immediately to avoid service interruption: http://harborinsurance-secure-login.ga/verify,phishing
"Hi team, this week's newsletter is out — highlights and updates from Northwind Bank are here: https://www.orbittelecom.com/dashboard",safe
"Hello Jordan, please find attached the invoice for last month's services from Northwind Bank. Let us know if anything looks off.",safe
We have processed a refund of $89.00 to your account by mistake. Please click here to return the funds immediately to avoid legal action: http://harborinsurance.com@pihbagfe.ru/session,phishing
Congratulations Carlos! You have been selected to win a $500 gift card. Claim your prize now before it expires: http://27.81.95.226/login/verify,phishing
"Hi Daniel, the quarterly report from BrightPay is ready for review. You can access it here: https://www.vertexsoftware.dev/dashboard",safe
"Hi Grace, this is Meridian Health Support. We noticed a failed delivery attempt for your package. Confirm your address here to reschedule: http://pt5r5rc6zs62yw.info/index.php?verify=1",phishing
"Hey, are we still on for lunch on Friday? Let me know what time works for you.",safe
"Hi Aisha, just a reminder that our meeting is scheduled for Thursday at 3:15 PM. Let me know if you have any questions before then.",safe
"Hi all, just sharing the slides from today's presentation for anyone who missed the meeting. Thanks for joining!",safe
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://billing-alert.ml/login,phishing
"Hi Fatima, this is Harbor Insurance Support. We noticed a failed delivery attempt for your package. Confirm your address here to reschedule: http://orbittelecom-secure-login.tk/verify",phishing
"Dear Alex, your recent statement from Orbit Telecom is now available in your online account: https://www.harborinsurance.com/newsletter",safe
"Hi Jordan, following up on our call earlier — I've attached the notes and next steps we discussed. Talk soon.",safe
"Hi Wei, this is BrightPay Support. We noticed a failed delivery attempt for your package. Confirm your address here to reschedule: http://summitretail-secure-login.xyz/verify",phishing
Congratulations Carlos! You have been selected to win a $500 gift card. Claim your prize now before it expires: http://orbittelecom-secure-login.ml/verify,phishing
"Dear valued customer, our records show your Orbit Telecom password will expire today. Click below to reset it now and keep your account active: http://vertexsoftware.dev@ehkngbik.ru/session",phishing
Your mailbox has exceeded its storage limit and new emails will be rejected. Verify your account now to restore full access: http://60.139.89.163/login/verify,phishing
"Hi Fatima, this is Northwind Bank Support. We noticed a failed delivery attempt for your package. Confirm your address here to reschedule: http://northwindbank-secure-login.ml/verify",phishing
"Hi Carlos, this is Northwind Bank Support. We noticed a failed delivery attempt for your package. Confirm your address here to reschedule: http://236.60.230.217/login/verify",phishing
"Hi Morgan, following up on our call earlier — I've attached the notes and next steps we discussed. Talk soon.",safe
"Hi team, this week's newsletter is out — highlights and updates from Northwind Bank are here: https://www.vertexsoftware.dev/newsletter",safe
"Hi team, this week's newsletter is out — highlights and updates from BrightPay are here: https://www.orbittelecom.com/account",safe
"Hi Alex, the quarterly report from BrightPay is ready for review. You can access it here: https://www.brightpay.com/billing",safe
Your payment of $249.99 could not be processed. Update your billing information immediately to avoid service interruption: http://account-verify.top/login,phishing
"Hi Morgan, this is Vertex Software Support. We noticed a failed delivery attempt for your package. Confirm your address here to reschedule: http://vertexsoftware-secure-login.info/verify",phishing
ACTION REQUIRED: Unusual sign-in activity was detected on your account. Confirm it was you within 24 hours or your account will be locked: http://nlk8ags6e1zhwy.info/index.php?verify=1,phishing
"Hi Alex, the quarterly report from Cascade Cloud is ready for review. You can access it here: https://www.yourcompany.com/billing",safe
Congratulations Carlos! You have been selected to win a $500 gift card. Claim your prize now before it expires: http://northwindbank.com@dafedpof.ru/session,phishing
"Hi Taylor, following up on our call earlier — I've attached the notes and next steps we discussed. Talk soon.",safe
Final notice: Your Harbor Insurance subscription payment failed. Please update your card details immediately to avoid cancellation: http://cascadecloud-secure-login.cf/verify,phishing
"Dear valued customer, our records show your Cascade Cloud password will expire today. Click below to reset it now and keep your account active: http://meridianhealth-secure-login.ml/verify",phishing
"Hi Taylor, the quarterly report from BrightPay is ready for review. You can access it here: https://www.orbittelecom.com/account",safe
Final notice: Your Harbor Insurance subscription payment failed. Please update your card details immediately to avoid cancellation: http://brightpay.com@hfeejoii.ru/session,phishing
"Hello Taylor, please find attached the invoice for last month's services from Harbor Insurance. Let us know if anything looks off.",safe
"Hi team, this week's newsletter is out — highlights and updates from BrightPay are here: https://www.meridianhealth.org/billing",safe
"Hi all, just sharing the slides from today's presentation for anyone who missed the meeting. Thanks for joining!",safe
"Hi Aisha, the quarterly report from Vertex Software is ready for review. You can access it here: https://www.harborinsurance.com/newsletter",safe
"Hi Carlos, following up on our call earlier — I've attached the notes and next steps we discussed. Talk soon.",safe
"Hi Morgan, this is Cascade Cloud Support. We noticed a failed delivery attempt for your package. Confirm your address here to reschedule: http://244.90.58.167/login/verify",phishing
"Hi team, this week's newsletter is out — highlights and updates from BrightPay are here: https://www.summitretail.com/account",safe
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://meridianhealth.org@eckhooaj.ru/session,phishing
"Hi team, this week's newsletter is out — highlights and updates from Vertex Software are here: https://www.summitretail.com/support",safe
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://harborinsurance.com@ccddafei.ru/session,phishing
"Hi Fatima, following up on our call earlier — I've attached the notes and next steps we discussed. Talk soon.",safe
"Hey, are we still on for lunch on Thursday? Let me know what time works for you.",safe
URGENT SECURITY ALERT: We detected a login attempt from an unrecognized device. Verify your identity now to avoid losing access to your account: http://account-verify.info/login,phishing
"Hello Morgan, please find attached the invoice for last month's services from Meridian Health. Let us know if anything looks off.",safe
Your payment of $249.99 could not be processed. Update your billing information immediately to avoid service interruption: http://northwindbank-secure-login.info/verify,phishing
"Hi Sam, following up on our call earlier — I've attached the notes and next steps we discussed. Talk soon.",safe
"Hi Carlos, this is Vertex Software Support. We noticed a failed delivery attempt for your package. Confirm your address here to reschedule: http://nnngbpj4ufzdy3.info/index.php?verify=1",phishing
"Hi Jordan, just a reminder that our meeting is scheduled for Wednesday at 3:15 PM. Let me know if you have any questions before then.",safe
"Hey, are we still on for lunch on Tuesday? Let me know what time works for you.",safe
"Hi Nina, following up on our call earlier — I've attached the notes and next steps we discussed. Talk soon.",safe
